festival_kr,festival,place,place_en,begin_date,end_date,contents,contents_en,organizer,organizer_en,host,host_en,sponsor,sponsor_en,phone,website,additional,address,address_old_style,latitude,longitude,updated,data_organization_code,data_organization,data_organization_en,address_en,address_old_en
제19회 구리 코스모스 축제,19th Guri Cosmos Festival,구리한강 시민공원 및 시가지 일원,Guri Hangang Citizen’s Park and downtown area,2019-09-27,2019-09-29,한강 꽃단지 체험 및 시가지 공연 등,"Han River flower complex experience and city performances, etc.",(사)한국예총 구리지회,Guri Branch of the Korean Federation of Arts and Sciences,경기도 구리시청,Gyeonggi-do Guri City Hall,경기도+한국관광공사+경기관광공사,Gyeonggi Province + Korea Tourism Organization + Gyeonggi Tourism Organization,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2023-12-04,3980000,경기도 구리시,"Guri-si, Gyeonggi-do","249 Cosmos-gil 14beon-gil, Guri-si, Gyeonggi-do (Topyeong-dong)","810 Topyeong-dong, Guri-si, Gyeonggi-do"
2023 구리 유채꽃 한강예술제,2023 Guri Rape Flower Hangang Arts Festival,구리한강 시민공원,Guri Hangang Citizen’s Park,2023-05-12,2023-05-14,무대공연+체험부스운영+먹거리 체험+꽃 관람,Stage performance + experience booth operation + food experience + flower viewing,(사)구리문화원,Guri Cultural Center,경기도 구리시청,Gyeonggi-do Guri City Hall,한국관광공사+경기관광공사,Korea Tourism Organization + Gyeonggi Tourism Organization,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2023-12-04,3980000,경기도 구리시,"Guri-si, Gyeonggi-do","249 Cosmos-gil 14beon-gil, Guri-si, Gyeonggi-do (Topyeong-dong)","810 Topyeong-dong, Guri-si, Gyeonggi-do"
2023 구리 코스모스 한강예술제,2023 Guri Cosmos Hangang Arts Festival,구리한강 시민공원,Guri Hangang Citizen’s Park,2023-10-13,2023-10-15,무대공연+체험부스운영+먹거리 체험+꽃 관람,Stage performance + experience booth operation + food experience + flower viewing,(사)구리문화원,Guri Cultural Center,경기도 구리시청,Gyeonggi-do Guri City Hall,한국관광공사+경기관광공사,Korea Tourism Organization + Gyeonggi Tourism Organization,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2023-12-04,3980000,경기도 구리시,"Guri-si, Gyeonggi-do","249 Cosmos-gil 14beon-gil, Guri-si, Gyeonggi-do (Topyeong-dong)","810 Topyeong-dong, Guri-si, Gyeonggi-do"
광양매화축제,Gwangyang Plum Festival,광양시 다압면 섬진마을 일원,"Seomjin Village, Daap-myeon, Gwangyang-si",2023-03-10,2023-03-19,공연+경연+체험+전시+판매+부대행사,Performance + Contest + Experience + Exhibition + Sales + Side Events,광양매화축제추진위원회,Gwangyang Plum Festival Promotion Committee,전라남도 광양시청,"Gwangyang City Hall, Jeollanam-do",,#VALUE!,061-797-2721,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 시청로 33,전라남도 광양시 중동 1313,34.94063056,127.6959675,2023-12-08,4840000,전라남도 광양시,"Gwangyang-si, Jeollanam-do","33, Sicheong-ro, Gwangyang-si, Jeollanam-do","1313 Jungdong, Gwangyang-si, Jeollanam-do"
광양천년동백축제,Gwangyang Millennium Camellia Festival,광양시 옥룡면 동백림 일원,"Dongbaekrim area in Okryong-myeon, Gwangyang-si",2023-03-11,2023-03-19,공연+경연+체험+전시+판매+부대행사,Performance + Contest + Experience + Exhibition + Sales + Side Events,광양동백축제추진위원회,Gwangyang Camellia Festival Promotion Committee,전라남도 광양시청,"Gwangyang City Hall, Jeollanam-do",,#VALUE!,061-797-2603,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 옥룡면 신재로 624,전라남도 광양시 옥룡면 운평리 262,35.01695051,127.6192703,2023-12-08,4840000,전라남도 광양시,"Gwangyang-si, Jeollanam-do","624, Sinjae-ro, Okryong-myeon, Gwangyang-si, Jeollanam-do","262 Unpyeong-ri, Okryong-myeon, Gwangyang-si, Jeollanam-do"
백운산국사봉철쭉제,Baekun Mountain Guksabong Azalea Festival,광양시 옥곡면 국사봉랜드,"Guksabong Land, Okgok-myeon, Gwangyang-si",2023-04-29,2023-04-30,공연+경연+체험+전시+판매+부대행사,Performance + Contest + Experience + Exhibition + Sales + Side Events,백운산국사봉철쭉축제추진위원회,Baekun Mountain Guksabong Azalea Festival Promotion Committee,전라남도 광양시청,"Gwangyang City Hall, Jeollanam-do",,#VALUE!,061-797-4233,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 옥곡면 옥진로 665-1,전라남도 광양시 옥곡면 수평리 131-3,34.98936299,127.7001825,2023-12-08,4840000,전라남도 광양시,"Gwangyang-si, Jeollanam-do","665-1 Okjin-ro, Okgok-myeon, Gwangyang-si, Jeollanam-do","131-3, Pyeongri, Okgok-myeon, Gwangyang-si, Jeollanam-do"
광양전어축제,Gwangyang Shad Festival,광양시 진월면 망덕포구 일원,"Area of ​​Mangdeokpo-gu, Jinwol-myeon, Gwangyang-si",2023-08-01,2023-08-01,공연+경연+체험+전시+판매+부대행사,Performance + Contest + Experience + Exhibition + Sales + Side Events,광양전어축제추진위원회,Gwangyang Shad Festival Promotion Committee,전라남도 광양시청,"Gwangyang City Hall, Jeollanam-do",,#VALUE!,061-797-3679,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 진월면 망덕길 265,전라남도 광양시 진월면 망덕리 12-1,34.97164706,127.7587907,2023-12-08,4840000,전라남도 광양시,"Gwangyang-si, Jeollanam-do","265, Mangdeok-gil, Jinwol-myeon, Gwangyang-si, Jeollanam-do","12-1 Mangdeok-ri, Jinwol-myeon, Gwangyang-si, Jeollanam-do"
광양숯불구이축제,Gwangyang Charcoal Grilling Festival,광양시 광양읍 서천변 일원,"Seocheon area, Gwangyang-eup, Gwangyang-si",2023-10-01,2023-10-01,공연+경연+체험+전시+판매+부대행사,Performance + Contest + Experience + Exhibition + Sales + Side Events,광양숯불구이축제추진위원회,Gwangyang Charcoal Grilling Festival Promotion Committee,전라남도 광양시청,"Gwangyang City Hall, Jeollanam-do",,#VALUE!,061-797-4903,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 광양읍 남등길 6,전라남도 광양시 광양읍 칠성리 946,34.9733415,127.5810489,2023-12-08,4840000,전라남도 광양시,"Gwangyang-si, Jeollanam-do","6 Namdeung-gil, Gwangyang-eup, Gwangyang-si, Jeollanam-do","946, Chilseong-ri, Gwangyang-eup, Gwangyang-si, Jeollanam-do"
광양k-pop 슈퍼 페스티벌,Gwangyang K-pop Super Festival,광양시 광양읍 공설운동장,"Gwangyang-eup Public Stadium, Gwangyang-si",2023-10-20,2023-10-21,공연+체험+부대행사,Performance + Experience + Side Events,전라남도 광양시청,"Gwangyang City Hall, Jeollanam-do",전라남도 광양시청,"Gwangyang City Hall, Jeollanam-do",,#VALUE!,061-797-3714,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 광양읍 매천로 695-20,전라남도 광양시 광양읍 구산리 299,34.98292286,127.5754151,2023-12-08,4840000,전라남도 광양시,"Gwangyang-si, Jeollanam-do","695-20, Maecheon-ro, Gwangyang-eup, Gwangyang-si, Jeollanam-do","299 Gusan-ri, Gwangyang-eup, Gwangyang-si, Jeollanam-do"
제18회 영양산나물축제,18th Yeongyang Mountain Vegetable Festival,영양군청 일원,Yeongyang County Office area,2023-05-11,2023-05-14,판매+체험+공연+부대행사,Sales + Experience + Performance + Side Events,(재)영양축제관광재단,Yeongyang Festival Tourism Foundation,경상북도 영양군청,"Yeongyang-gun Office, Gyeongsangbuk-do",,#VALUE!,054-680-6411,yftf.kr,,경상북도 영양군 영양읍 군청길 37,경상북도 영양군 영양읍 서부리 379-1,36.66735774,129.1126844,2023-12-08,5170000,경상북도 영양군,"Yeongyang-gun, Gyeongsangbuk-do","37 Guncheong-gil, Yeongyang-eup, Yeongyang-gun, Gyeongsangbuk-do","379-1, Seobu-ri, Yeongyang-eup, Yeongyang-gun, Gyeongsangbuk-do"
2023 영양고추 H.O.T Festival,2023 Yeongyang Pepper H.O.T Festival,서울광장,Seoul Plaza,2023-09-18,2023-09-20,판매+체험+공연+부대행사,Sales + Experience + Performance + Side Events,경상북도 영양군청,"Yeongyang-gun Office, Gyeongsangbuk-do",경상북도 영양군청,"Yeongyang-gun Office, Gyeongsangbuk-do",,#VALUE!,054-680-6381,yyg.go.kr,,서울특별시 중구 세종대로 110,서울특별시 중구 태평로1가 31,37.56631769,126.9778284,2023-12-08,5170000,경상북도 영양군,"Yeongyang-gun, Gyeongsangbuk-do","110 Sejong-daero, Jung-gu, Seoul","31 Taepyeong-ro 1-ga, Jung-gu, Seoul"
구례산수유꽃축제,Gurye Sansuyu Flower Festival,산동면,Sandong-myeon,2023-03-11,2023-03-19,산수유꽃 프로그램,Cornus officinalis flower program,구례산수유꽃축제추진위원회,Gurye Sansuyu Flower Festival Promotion Committee,구례산수유꽃축제추진위원회,Gurye Sansuyu Flower Festival Promotion Committee,전라남도 구례군청,"Gurye-gun Office, Jeollanam-do",061-780-2390,https://www.gurye.go.kr/tour/detail.do?tourId=TOUR_0000000100&menuNo=104001002000,,,전라남도 구례군 산동면 좌사리 831,35.318767,127.4705342,2023-12-01,4870000,전라남도 구례군,"Gurye-gun, Jeollanam-do",#VALUE!,"831 Jwasa-ri, Sandong-myeon, Gurye-gun, Jeollanam-do"
마곡사 신록축제,Magoksa Temple Fresh Green Festival,사곡면 운암리 마곡사일원,"Magoksa Temple, Unam-ri, Sagok-myeon",2022-05-07,2022-05-08,전시 운영+백범명상길 걷기+마곡사 보물찾기 등,"Exhibition operation + walking Baekbeom meditation path + Magoksa temple treasure hunt, etc.",마곡사신록축제추진위원회,Magoksa Fresh Green Festival Promotion Committee,공주시,princess city,,#VALUE!,041-840-2056,,,충청남도 공주시 사곡면 마곡사로 966 마곡사,충청남도 공주시 사곡면 운암리 567,36.55740589,127.011603,2022-11-21,4500000,충청남도 공주시,"Gongju-si, Chungcheongnam-do","Magoksa Temple, 966 Magoksa-ro, Sagok-myeon, Gongju-si, Chungcheongnam-do","567 Unam-ri, Sagok-myeon, Gongju-si, Chungcheongnam-do"
제68회 백제문화제,68th Baekje Cultural Festival,금강신관공원,Geumgang New Building Park,2022-10-01,2022-10-10,웅진성퍼레이드+체험마당+무대공연+농특산품전시 및 판매,Woongjinseong Parade + Experience Center + Stage Performance + Exhibition and Sales of Special Agricultural Products,백제문화선양위원회,Baekje Culture Promotion Committee,백제문화제추진위원회,Baekje Cultural Festival Promotion Committee,,#VALUE!,041-840-8112,https://www.baekje.org/kor/,,충청남도 공주시 신관동 553,충청남도 공주시 신관동 553,36.47835102,127.1204236,2022-11-21,4500000,충청남도 공주시,"Gongju-si, Chungcheongnam-do","553 Singwan-dong, Gongju-si, Chungcheongnam-do","553 Singwan-dong, Gongju-si, Chungcheongnam-do"
제5회 겨울공주 군밤축제,The 5th Winter Princess Roasted Chestnut Festival,온라인,online,2022-01-29,2022-02-20,알밤 토크콘서트+공주알밤 디저트 UCC공모전+휴게소 홍보 등,"Albam Talk Concert + Princess Albam Dessert UCC Contest + Rest Area Promotion, etc.",겨울공주 군밤축제추진위원회,Winter Princess Roasted Chestnut Festival Promotion Committee,공주시,princess city,,#VALUE!,041-840-2056,,,충청남도 공주시 금학동 111-1,충청남도 공주시 금학동 111-1,36.43336915,127.124038,2022-11-21,4500000,충청남도 공주시,"Gongju-si, Chungcheongnam-do","111-1 Geumhak-dong, Gongju-si, Chungcheongnam-do","111-1 Geumhak-dong, Gongju-si, Chungcheongnam-do"
제1회 유구색동수국정원 꽃축제,The 1st Yugu Saek-dong Hydrangea Garden Flower Festival,유구색동수국정원,Yugu Saek-dong Hydrangea Garden,2022-06-17,2022-06-19,공식+기획 행사+경관조성+체험프로그램+편의시설 운영 등,"Official + planned events + landscape creation + experience programs + convenience facility operation, etc.",공주시,princess city,공주시,princess city,,#VALUE!,041-840-8111,,,,충청남도 공주시 유구읍 유구리 648-17,36.5555033,126.9543952,2022-11-21,4500000,충청남도 공주시,"Gongju-si, Chungcheongnam-do",#VALUE!,"648-17 Yuguri, Yugu-eup, Gongju-si, Chungcheongnam-do"
보이지 않아도 보이는,"Even if you can't see it, you can see it",KT&G 상상마당 춘천 1전시실+KT&G 상상마당 춘천 2전시실,KT&G Sangsang Madang Chuncheon Exhibition Room 1 + KT&G Sangsang Madang Chuncheon Exhibition Room 2,2022-07-13,2022-07-17,"전시장에서 작품을 관람하고자 할 때, 종종 만지지 마세요 눈으로만 보세요.’ 라는 글귀가 있다. 그러면 작품을 볼 수 없는 시작장애인에게 작품 감상은 불가능하다. 이번 전시는 장애인과 같이 문화적 소외자들에게도 작품 감상의 기회를 만들어 시각 예술 분야의 한계성을 극복해보고자 하는 전시이다.","When viewing a work of art in an exhibition hall, there is often a phrase that says, ‘Do not touch. Only look with your eyes.’ Then, it is impossible for visually impaired people who cannot see the work to appreciate the work. This exhibition seeks to overcome the limitations of the visual arts field by creating opportunities for culturally marginalized people, such as the disabled, to appreciate works.",공공미터협동조합,Public Meter Cooperative,강원문화재단+공공미터협동조합,Gangwon Cultural Foundation + Public Meter Cooperative,강원문화재단,Gangwon Cultural Foundation,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10597&search_type=1&search_keyword=EBB3B4EC9DB4ECA780+EC958AEC9584EB8F84+EBB3B4EC9DB4EB8A94,전시관람,강원도 춘천시 스포츠타운길399번길 25 어린이회관,강원도 춘천시 삼천동 223-2 어린이회관,37.874066,127.702455,2023-01-12,4180000,강원도 춘천시,"Chuncheon-si, Gangwon-do","Children’s Center, 25 Sportstown-gil 399beon-gil, Chuncheon-si, Gangwon-do","Children’s Center, 223-2 Samcheon-dong, Chuncheon-si, Gangwon-do"
Creative energy_김정현 개인展,Creative energy_Jeonghyun Kim’s personal exhibition,춘천미술관,Chuncheon Art Museum,2022-07-01,2022-07-06,김정현 개인전,Kim Jeong-hyeon’s solo exhibition,김정현,Kim Jeong-hyeon,김정현,Kim Jeong-hyeon,,#VALUE!,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10594&search_type=1&search_keyword=Creative+energy_EAB980ECA095ED9884+EAB09CEC9DB8E5B195,전시관람,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2,37.88237413,127.73132,2023-01-12,4180000,강원도 춘천시,"Chuncheon-si, Gangwon-do","71 Seobudaeseong-ro, Chuncheon-si, Gangwon-do","73-2, Okcheon-dong, Chuncheon-si, Gangwon-do"
2022년 강원PAX아라리 제 3회 정기연주회,2022 Gangwon PAX Arari 3rd regular concert,국립춘천박물관 중앙홀,Chuncheon National Museum Central Hall,2022-06-29,2022-06-29,"강원팍스아라리 주관으로 수원대학교 교수 박영란 작곡가에게 위촉한 6곡의 아리랑을 피아노(4명의 피아니스트)와 국악기(7명의 국악기 연주자)가 함께 앙상블로 연주한다. 국악과 양악의 콜라보레이션으로서, 한국 전통 민요인 아리랑을 새롭게 재창조하며 다채로운 해석을 통하여 대중적으로 다가가는 공연이 될 것이다.","Organized by Gangwon Pax Arari, six pieces of Arirang, commissioned by composer Park Young-ran, a professor at Suwon University, will be performed by an ensemble with a piano (4 pianists) and traditional Korean instruments (7 traditional Korean instrument players). As a collaboration between Korean traditional music and Western music, it will be a performance that re-creates Arirang, a traditional Korean folk song, and reaches out to the public through various interpretations.",강원팍스아라리,Gangwon Pax Arari,강원팍스아라리,Gangwon Pax Arari,,#VALUE!,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10591&search_type=1&search_keyword=2022EB8584+EAB095EC9B90PAXEC9584EB9DBCEBA6AC+ECA09C+3ED9A8C+ECA095EAB8B0EC97B0ECA3BCED9A8C,공연,강원도 춘천시 우석로 70 국립춘천박물관,강원도 춘천시 석사동 95-3,37.86401877,127.7521907,2023-01-12,4180000,강원도 춘천시,"Chuncheon-si, Gangwon-do","Chuncheon National Museum, 70 Wooseok-ro, Chuncheon-si, Gangwon-do","95-3, Seoksa-dong, Chuncheon-si, Gangwon-do"
제4회 대청호 벚꽃축제,The 4th Daecheong Lake Cherry Blossom Festival,신상동 벚꽃한터 일원,Shinsang-dong Cherry Blossom Hanteo area,2022-04-08,2022-04-10,벚꽃 아트길+온라인 공연+경연대회,Cherry Blossom Art Road + Online Performance + Contest,대전광역시 동구청(대행사: 대전문화방송),Daejeon Metropolitan City Dong-gu Office (Agency: Daejeon Munhwa Broadcasting),대전광역시 동구청,"Dong-gu Office, Daejeon Metropolitan City",,#VALUE!,042-251-6686,https://www.donggu.go.kr/dg/tour/contents/988,,,대전광역시 동구 신상동 282,36.35359044,127.4980431,2023-11-07,3640000,대전광역시 동구,"Dong-gu, Daejeon Metropolitan City",#VALUE!,"282, Sinsang-dong, Dong-gu, Daejeon"
제5회 대청호 벚꽃축제,The 5th Daecheong Lake Cherry Blossom Festival,신상동 벚꽃한터 일원,Shinsang-dong Cherry Blossom Hanteo area,2023-04-07,2023-04-09,벚꽃콘서트+경연대회+푸드트럭+체험프로그램 등,"Cherry blossom concert + contest + food truck + experience program, etc.",대전광역시 동구청(대행사: 대전문화방송),Daejeon Metropolitan City Dong-gu Office (Agency: Daejeon Munhwa Broadcasting),대전광역시 동구청,"Dong-gu Office, Daejeon Metropolitan City",,#VALUE!,042-251-6686,https://www.donggu.go.kr/dg/tour/contents/988,,,대전광역시 동구 신상동 282,36.35359044,127.4980431,2023-11-07,3640000,대전광역시 동구,"Dong-gu, Daejeon Metropolitan City",#VALUE!,"282, Sinsang-dong, Dong-gu, Daejeon"
거제도국제펭귄수영축제,Geoje Island International Penguin Swimming Festival,덕포해수욕장,Deokpo Beach,2024-12-01,2024-12-31,펭귄수영+맨손 광어잡이 등,"Penguin swimming + flatfish catching with bare hands, etc.",경상남도 거제시 옥포2동주민자치회,"Okpo 2-dong Residents' Association, Geoje-si, Gyeongsangnam-do",경상남도 거제시 옥포2동주민자치회,"Okpo 2-dong Residents' Association, Geoje-si, Gyeongsangnam-do",,#VALUE!,055-639-6864,,,,경상남도 거제시 덕포동 364-4,34.91173654,128.7108483,2024-01-03,5370000,경상남도 거제시,"Geoje-si, Gyeongsangnam-do",#VALUE!,"364-4, Deokpo-dong, Geoje-si, Gyeongsangnam-do"
2023계룡軍문화축제,2023 Gyeryong Military Culture Festival,충남 계룡시일원(계룡대 활주로 및 시가지),"Gyeryong-si, Chungcheongnam-do (Gyeryongdae runway and city area)",2023-10-06,2023-10-10,"개막식,전시관, 체험, 공연·경연, 부대행사등","Opening ceremony, exhibition hall, experience, performance/contest, side event, etc.",(재)계룡시문화관광재단,Gyeryong City Culture and Tourism Foundation,충청남도 계룡시,"Gyeryong-si, Chungcheongnam-do",국방부 등,"Ministry of Defense, etc.",042-840-2623,http://m-festival.org/,군(軍)문화로 통(通)하는 YES 계룡,,충남 계룡시 신도안면 석계리 76,,,2023-08-28,5580000,충청남도 계룡시,"Gyeryong-si, Chungcheongnam-do",#VALUE!,"76 Seokgye-ri, Sindoan-myeon, Gyeryong-si, Chungcheongnam-do"
